,State ID,States,Programming Languages,Languages,Education,Visualizations,Packages and Libraries,Tools
0,10,North Rhine-Westphalia,Python,English,Master,Tableau,Tensorflow,PowerPoint
1,10,North Rhine-Westphalia,Python,English,Master,Tableau,Pandas,Google Analytics
2,10,North Rhine-Westphalia,Python,English,Master,QLIK,Keras,Google Analytics
3,10,North Rhine-Westphalia,Python,English,Master,QLIK,Keras,Google Data Studio
4,10,North Rhine-Westphalia,Python,English,PHD,Power BI,PyTorch,Adobe Analytics
5,10,North Rhine-Westphalia,Python,English,Bachelor,Power BI,,Adobe Analytics
6,10,North Rhine-Westphalia,Python,English,Bachelor,Power BI,,Excel
7,10,North Rhine-Westphalia,Python,English,Bachelor,Power BI,,Excel
8,10,North Rhine-Westphalia,Python,English,Bachelor,Power BI,,Excel
9,10,North Rhine-Westphalia,Python,English,,Power BI,,Excel
10,10,North Rhine-Westphalia,Python,English,,Power BI,,Excel
11,10,North Rhine-Westphalia,Python,English,,Power BI,,Excel
12,10,North Rhine-Westphalia,Python,English,,Power BI,,Excel
13,10,North Rhine-Westphalia,Python,English,,Power BI,,
14,10,North Rhine-Westphalia,Python,English,,Power BI,,
15,10,North Rhine-Westphalia,SQL,English,,,,
16,10,North Rhine-Westphalia,SQL,English,,,,
17,10,North Rhine-Westphalia,SQL,English,,,,
18,10,North Rhine-Westphalia,SQL,English,,,,
19,10,North Rhine-Westphalia,SQL,English,,,,
20,10,North Rhine-Westphalia,SQL,English,,,,
21,10,North Rhine-Westphalia,SQL,English,,,,
22,10,North Rhine-Westphalia,SQL,English,,,,
23,10,North Rhine-Westphalia,SQL,English,,,,
24,10,North Rhine-Westphalia,SQL,English,,,,
25,10,North Rhine-Westphalia,SQL,English,,,,
26,10,North Rhine-Westphalia,SQL,English,,,,
27,10,North Rhine-Westphalia,SQL,English,,,,
28,10,North Rhine-Westphalia,SQL,English,,,,
29,10,North Rhine-Westphalia,SQL,English,,,,
30,10,North Rhine-Westphalia,SQL,English,,,,
31,10,North Rhine-Westphalia,SQL,English,,,,
32,10,North Rhine-Westphalia,SQL,English,,,,
33,10,North Rhine-Westphalia,SQL,English,,,,
34,10,North Rhine-Westphalia,SQL,English,,,,
35,10,North Rhine-Westphalia,Java,English,,,,
36,10,North Rhine-Westphalia,Java,English,,,,
37,10,North Rhine-Westphalia,Java,English,,,,
38,10,North Rhine-Westphalia,JavaScript,English,,,,
39,10,North Rhine-Westphalia,JavaScript,English,,,,
40,10,North Rhine-Westphalia,NoSQL,English,,,,
41,10,North Rhine-Westphalia,SAS,German,,,,
42,10,North Rhine-Westphalia,PHP,German,,,,
43,10,North Rhine-Westphalia,VBA,German,,,,
44,10,North Rhine-Westphalia,VBA,German,,,,
45,10,North Rhine-Westphalia,R,German,,,,
46,10,North Rhine-Westphalia,R,German,,,,
47,10,North Rhine-Westphalia,R,German,,,,
48,10,North Rhine-Westphalia,R,German,,,,
49,10,North Rhine-Westphalia,R,German,,,,
50,10,North Rhine-Westphalia,R,German,,,,
51,10,North Rhine-Westphalia,,German,,,,
52,10,North Rhine-Westphalia,,German,,,,
53,10,North Rhine-Westphalia,,German,,,,
54,10,North Rhine-Westphalia,,German,,,,
55,10,North Rhine-Westphalia,,German,,,,
56,10,North Rhine-Westphalia,,German,,,,
57,10,North Rhine-Westphalia,,German,,,,
58,10,North Rhine-Westphalia,,German,,,,
59,10,North Rhine-Westphalia,,German,,,,
60,10,North Rhine-Westphalia,,German,,,,
61,10,North Rhine-Westphalia,,German,,,,
62,10,North Rhine-Westphalia,,German,,,,
63,10,North Rhine-Westphalia,,German,,,,
64,10,North Rhine-Westphalia,,German,,,,
65,10,North Rhine-Westphalia,,German,,,,
66,10,North Rhine-Westphalia,,German,,,,
67,10,North Rhine-Westphalia,,German,,,,
68,10,North Rhine-Westphalia,,German,,,,
69,10,North Rhine-Westphalia,,German,,,,
70,10,North Rhine-Westphalia,,German,,,,
71,10,North Rhine-Westphalia,,German,,,,
72,10,North Rhine-Westphalia,,German,,,,
73,10,North Rhine-Westphalia,,German,,,,
