,State ID,States,Programming Languages,Languages,Education,Visualizations,Packages and Libraries,Tools
0,11,Rhineland-Palatinate,Python,English,Bachelor,Tableau,NaN,Excel
1,11,Rhineland-Palatinate,Python,English,,Tableau,,Excel
2,11,Rhineland-Palatinate,Python,German,,Tableau,,
3,11,Rhineland-Palatinate,Python,German,,QLIK,,
4,11,Rhineland-Palatinate,Python,German,,Power BI,,
5,11,Rhineland-Palatinate,SQL,,,,,
6,11,Rhineland-Palatinate,SQL,,,,,
7,11,Rhineland-Palatinate,SQL,,,,,
8,11,Rhineland-Palatinate,SQL,,,,,
9,11,Rhineland-Palatinate,SQL,,,,,
10,11,Rhineland-Palatinate,SQL,,,,,
11,11,Rhineland-Palatinate,R,,,,,
12,11,Rhineland-Palatinate,R,,,,,
13,11,Rhineland-Palatinate,R,,,,,
14,11,Rhineland-Palatinate,R,,,,,
