,State ID,States,Programming Languages,Languages,Education,Visualizations,Packages and Libraries,Tools
0,13,Saxony,Python,English,Bachelor,Power BI,NaN,Excel
1,13,Saxony,Python,English,,Power BI,,
2,13,Saxony,Python,English,,,,
3,13,Saxony,Python,English,,,,
4,13,Saxony,Python,English,,,,
5,13,Saxony,Python,English,,,,
6,13,Saxony,Python,English,,,,
7,13,Saxony,Python,English,,,,
8,13,Saxony,Python,English,,,,
9,13,Saxony,Python,English,,,,
10,13,Saxony,SQL,German,,,,
11,13,Saxony,SQL,German,,,,
12,13,Saxony,SQL,German,,,,
13,13,Saxony,SQL,German,,,,
14,13,Saxony,SQL,German,,,,
15,13,Saxony,SQL,German,,,,
16,13,Saxony,SQL,German,,,,
17,13,Saxony,SQL,German,,,,
18,13,Saxony,SQL,German,,,,
19,13,Saxony,SQL,German,,,,
20,13,Saxony,Java,French,,,,
21,13,Saxony,NoSQL,,,,,
22,13,Saxony,Matlab,,,,,
23,13,Saxony,Matlab,,,,,
24,13,Saxony,SAS,,,,,
25,13,Saxony,VBA,,,,,
26,13,Saxony,VBA,,,,,
27,13,Saxony,R,,,,,
28,13,Saxony,R,,,,,
29,13,Saxony,R,,,,,
30,13,Saxony,R,,,,,
