,State ID,States,Programming Languages,Languages,Education,Visualizations,Packages and Libraries,Tools
0,15,Schleswig-Holstein,Python,English,NaN,NaN,NaN,Excel
1,15,Schleswig-Holstein,Python,English,,,,Excel
2,15,Schleswig-Holstein,Python,English,,,,
3,15,Schleswig-Holstein,Python,English,,,,
4,15,Schleswig-Holstein,Python,English,,,,
5,15,Schleswig-Holstein,Python,German,,,,
6,15,Schleswig-Holstein,Python,German,,,,
7,15,Schleswig-Holstein,SQL,German,,,,
8,15,Schleswig-Holstein,SQL,German,,,,
9,15,Schleswig-Holstein,SQL,German,,,,
10,15,Schleswig-Holstein,SQL,,,,,
11,15,Schleswig-Holstein,R,,,,,
12,15,Schleswig-Holstein,R,,,,,
13,15,Schleswig-Holstein,R,,,,,
14,15,Schleswig-Holstein,R,,,,,
15,15,Schleswig-Holstein,R,,,,,
