,State ID,States,Programming Languages,Languages,Education,Visualizations,Packages and Libraries,Tools
0,2,Bavaria,Python,English,Master,Tableau,Pandas,PowerPoint
1,2,Bavaria,Python,English,Master,Tableau,Keras,Google Analytics
2,2,Bavaria,Python,English,Master,Tableau,PyTorch,Google Data Studio
3,2,Bavaria,Python,English,Master,Tableau,,Google Data Studio
4,2,Bavaria,Python,English,Bachelor,Tableau,,Google Data Studio
5,2,Bavaria,Python,English,Bachelor,Tableau,,Adobe Analytics
6,2,Bavaria,Python,English,Bachelor,Tableau,,Excel
7,2,Bavaria,Python,English,Bachelor,Tableau,,Excel
8,2,Bavaria,Python,English,Bachelor,Tableau,,Excel
9,2,Bavaria,Python,English,,Tableau,,Excel
10,2,Bavaria,SQL,English,,QLIK,,Excel
11,2,Bavaria,SQL,English,,Looker,,Excel
12,2,Bavaria,SQL,English,,Power BI,,Excel
13,2,Bavaria,SQL,English,,,,Excel
14,2,Bavaria,SQL,English,,,,Excel
15,2,Bavaria,SQL,English,,,,Excel
16,2,Bavaria,SQL,English,,,,
17,2,Bavaria,SQL,English,,,,
18,2,Bavaria,SQL,English,,,,
19,2,Bavaria,SQL,English,,,,
20,2,Bavaria,SQL,English,,,,
21,2,Bavaria,SQL,English,,,,
22,2,Bavaria,SQL,German,,,,
23,2,Bavaria,SQL,German,,,,
24,2,Bavaria,SQL,German,,,,
25,2,Bavaria,SQL,German,,,,
26,2,Bavaria,NoSQL,German,,,,
27,2,Bavaria,VBA,German,,,,
28,2,Bavaria,R,German,,,,
29,2,Bavaria,R,German,,,,
30,2,Bavaria,R,German,,,,
31,2,Bavaria,R,German,,,,
32,2,Bavaria,,German,,,,
33,2,Bavaria,,German,,,,
34,2,Bavaria,,German,,,,
35,2,Bavaria,,German,,,,
36,2,Bavaria,,German,,,,
37,2,Bavaria,,German,,,,
38,2,Bavaria,,German,,,,
39,2,Bavaria,,German,,,,
40,2,Bavaria,,German,,,,
41,2,Bavaria,,German,,,,
42,2,Bavaria,,German,,,,
43,2,Bavaria,,German,,,,
