,State ID,States,Programming Languages,Languages,Education,Visualizations,Packages and Libraries,Tools
0,8,Lower Saxony,Python,English,Master,Tableau,NaN,Google Analytics
1,8,Lower Saxony,Python,English,Bachelor,Tableau,,Google Analytics
2,8,Lower Saxony,Python,English,Bachelor,Tableau,,Google Analytics
3,8,Lower Saxony,Python,English,,Tableau,,Adobe Analytics
4,8,Lower Saxony,Python,English,,Tableau,,Excel
5,8,Lower Saxony,SQL,English,,Power BI,,Excel
6,8,Lower Saxony,SQL,English,,,,Excel
7,8,Lower Saxony,SQL,English,,,,Excel
8,8,Lower Saxony,SQL,English,,,,Excel
9,8,Lower Saxony,SQL,English,,,,Excel
10,8,Lower Saxony,SQL,English,,,,Excel
11,8,Lower Saxony,SQL,English,,,,
12,8,Lower Saxony,Java,English,,,,
13,8,Lower Saxony,JavaScript,English,,,,
14,8,Lower Saxony,JavaScript,English,,,,
15,8,Lower Saxony,R,English,,,,
16,8,Lower Saxony,R,English,,,,
17,8,Lower Saxony,,English,,,,
18,8,Lower Saxony,,English,,,,
19,8,Lower Saxony,,German,,,,
20,8,Lower Saxony,,German,,,,
21,8,Lower Saxony,,German,,,,
22,8,Lower Saxony,,German,,,,
23,8,Lower Saxony,,German,,,,
24,8,Lower Saxony,,German,,,,
25,8,Lower Saxony,,German,,,,
26,8,Lower Saxony,,German,,,,
27,8,Lower Saxony,,German,,,,
28,8,Lower Saxony,,German,,,,
29,8,Lower Saxony,,German,,,,
30,8,Lower Saxony,,German,,,,
