State ID,States,Programming Languages,Languages,Education,Visualizations,Packages and Libraries,Tools
1,Baden-Württemberg,Python,English,Master,Tableau,NumPy,PowerPoint
1,Baden-Württemberg,Python,English,Master,Tableau,NumPy,PowerPoint
1,Baden-Württemberg,Python,English,Master,Tableau,Pandas,PowerPoint
1,Baden-Württemberg,Python,English,Master,Tableau,Pandas,PowerPoint
1,Baden-Württemberg,Python,English,Master,Tableau,Scikitlearn,PowerPoint
1,Baden-Württemberg,Python,English,Master,Tableau,Scikitlearn,PowerPoint
1,Baden-Württemberg,Python,English,Master,Tableau,Selenium,Google Analytics
1,Baden-Württemberg,Python,English,Master,Tableau,,Google Analytics
1,Baden-Württemberg,Python,English,Master,Tableau,,Google Analytics
1,Baden-Württemberg,Python,English,Master,QLIK,,Google Analytics
1,Baden-Württemberg,Python,English,Master,QLIK,,Google Analytics
1,Baden-Württemberg,Python,English,Master,Plotly,,Google Analytics
1,Baden-Württemberg,Python,English,PHD,Plotly,,Google Analytics
1,Baden-Württemberg,Python,English,PHD,Plotly,,Google Data Studio
1,Baden-Württemberg,Python,English,Bachelor,Plotly,,Google Data Studio
1,Baden-Württemberg,Python,English,Bachelor,Looker,,Google Data Studio
1,Baden-Württemberg,Python,English,Bachelor,Looker,,Adobe Analytics
1,Baden-Württemberg,Python,English,Bachelor,Power BI,,Adobe Analytics
1,Baden-Württemberg,Python,English,Bachelor,Power BI,,Excel
1,Baden-Württemberg,SQL,English,Bachelor,Power BI,,Excel
1,Baden-Württemberg,SQL,English,Bachelor,Power BI,,Excel
1,Baden-Württemberg,SQL,English,Bachelor,Power BI,,Excel
1,Baden-Württemberg,SQL,English,Bachelor,Power BI,,Excel
1,Baden-Württemberg,SQL,English,Bachelor,Power BI,,Excel
1,Baden-Württemberg,SQL,English,Bachelor,Power BI,,Excel
1,Baden-Württemberg,SQL,English,Bachelor,,,Excel
1,Baden-Württemberg,SQL,English,,,,Excel
1,Baden-Württemberg,SQL,English,,,,Excel
1,Baden-Württemberg,SQL,English,,,,Excel
1,Baden-Württemberg,SQL,English,,,,Excel
1,Baden-Württemberg,SQL,English,,,,Excel
1,Baden-Württemberg,SQL,English,,,,Excel
1,Baden-Württemberg,SQL,English,,,,Excel
